level,date,state_fips,state_postal_code,county_fips,county_name,population_staying_at_home,population_not_staying_at_home,number_of_trips,number_of_trips_<1,number_of_trips_1-3,number_of_trips_3-5,number_of_trips_5-10,number_of_trips_10-25,number_of_trips_25-50,number_of_trips_50-100,number_of_trips_100-250,number_of_trips_250-500,number_of_trips_>=500,row_id,week,month
County,2019-02-16,06,CA,06083,Santa Barbara County,90882,355617,1573717,467024,448262,205778,181617,136580,83907,32429,14437,2086,1597,06-06083-20190216,6,2
County,2019-02-17,06,CA,06083,Santa Barbara County,98273,348226,1415154,423791,413057,183052,166169,116467,66575,31096,11906,1697,1344,06-06083-20190217,7,2
County,2019-02-18,06,CA,06083,Santa Barbara County,97554,348945,1510785,444654,442174,186026,182009,130260,77018,32997,12570,1711,1366,06-06083-20190218,7,2
County,2019-02-19,06,CA,06083,Santa Barbara County,96477,350022,1626751,507134,466556,202624,195027,132503,74785,32974,11825,1779,1544,06-06083-20190219,7,2
County,2019-02-20,06,CA,06083,Santa Barbara County,95458,351041,1637322,519061,462183,199561,195087,131214,77485,36770,12388,1862,1711,06-06083-20190220,7,2
County,2019-02-21,06,CA,06083,Santa Barbara County,94786,351713,1608044,499521,458994,197606,189512,133773,77560,35670,12019,1955,1434,06-06083-20190221,7,2
County,2019-02-22,06,CA,06083,Santa Barbara County,93928,352571,1636704,493348,490115,203505,187856,132143,74665,38043,13341,1917,1771,06-06083-20190222,7,2
County,2019-02-23,06,CA,06083,Santa Barbara County,97782,348717,1645923,496695,476075,207489,188566,137681,82345,39555,14361,1792,1364,06-06083-20190223,7,2
County,2019-02-24,06,CA,06083,Santa Barbara County,98830,347669,1441620,420935,429550,183268,162240,119430,75441,34411,12932,1825,1588,06-06083-20190224,8,2
County,2019-02-25,06,CA,06083,Santa Barbara County,97349,349150,1582792,477759,466211,194130,187820,127441,75727,36695,13082,1852,2075,06-06083-20190225,8,2
County,2019-02-26,06,CA,06083,Santa Barbara County,95860,350639,1556041,470326,467119,187137,182221,126267,75083,33121,11509,1665,1593,06-06083-20190226,8,2
County,2019-02-27,06,CA,06083,Santa Barbara County,96001,350498,1618608,493541,488307,204834,186039,129551,73623,30324,9644,1434,1311,06-06083-20190227,8,2
County,2019-02-28,06,CA,06083,Santa Barbara County,95266,351233,1601924,467991,472230,206499,193896,135298,78884,33378,11043,1393,1312,06-06083-20190228,8,2
County,2019-03-01,06,CA,06083,Santa Barbara County,93768,352731,1594252,474252,473039,199126,185852,126036,79920,40126,12536,1838,1527,06-06083-20190301,8,3
County,2019-03-02,06,CA,06083,Santa Barbara County,98795,347704,1568569,476924,464967,198744,178337,121808,77981,34764,11957,1769,1318,06-06083-20190302,8,3
County,2019-03-03,06,CA,06083,Santa Barbara County,103176,343323,1418844,418044,423395,181935,156385,118149,74253,30243,13219,1661,1560,06-06083-20190303,9,3
County,2019-03-04,06,CA,06083,Santa Barbara County,98888,347611,1592349,501480,454667,191787,182057,130482,78344,38674,11613,1690,1555,06-06083-20190304,9,3
County,2019-03-05,06,CA,06083,Santa Barbara County,97658,348841,1539468,511263,436545,180991,176154,120059,69963,30839,10886,1349,1419,06-06083-20190305,9,3
County,2019-03-06,06,CA,06083,Santa Barbara County,98679,347820,1512879,476134,448562,182840,172947,116290,73621,29450,10247,1532,1256,06-06083-20190306,9,3
County,2019-03-07,06,CA,06083,Santa Barbara County,93082,353417,1645457,502205,488551,209088,198429,124429,73080,35901,10711,1486,1577,06-06083-20190307,9,3
County,2019-03-08,06,CA,06083,Santa Barbara County,96584,349915,1821500,540190,548329,232856,207806,144029,87390,44322,13290,1449,1839,06-06083-20190308,9,3
County,2019-03-09,06,CA,06083,Santa Barbara County,99633,346866,1759184,514294,525966,221025,196971,146206,91685,46359,13586,1502,1590,06-06083-20190309,9,3
County,2019-03-10,06,CA,06083,Santa Barbara County,99355,347144,1599937,458563,481446,196914,178612,139152,87969,40686,13869,1445,1281,06-06083-20190310,10,3
County,2019-03-11,06,CA,06083,Santa Barbara County,94884,351615,1837652,533963,562923,220501,228886,148948,83083,42479,13475,1575,1819,06-06083-20190311,10,3
County,2019-03-12,06,CA,06083,Santa Barbara County,93455,353044,1749159,520462,516441,222240,209686,141979,88055,35416,11569,1581,1730,06-06083-20190312,10,3
County,2019-03-13,06,CA,06083,Santa Barbara County,96955,349544,1841193,550406,567205,223080,218473,146142,87512,34267,11304,1424,1380,06-06083-20190313,10,3
County,2019-03-14,06,CA,06083,Santa Barbara County,96092,350407,1796918,510222,550995,223097,220182,151225,88170,38730,11310,1389,1598,06-06083-20190314,10,3
County,2019-03-15,06,CA,06083,Santa Barbara County,93165,353334,1941197,562160,586139,250645,228270,160351,97460,40043,12886,1414,1829,06-06083-20190315,10,3
County,2019-03-16,06,CA,06083,Santa Barbara County,95845,350654,1956918,574727,590909,239404,231987,167257,97456,38581,13697,1340,1560,06-06083-20190316,10,3
County,2019-03-17,06,CA,06083,Santa Barbara County,92394,354105,1716939,506377,522640,205696,196140,145602,86191,38480,13136,1409,1268,06-06083-20190317,11,3
County,2019-03-18,06,CA,06083,Santa Barbara County,88548,357951,1824545,539617,536328,228542,225482,154169,85832,37969,13639,1578,1389,06-06083-20190318,11,3
County,2019-03-19,06,CA,06083,Santa Barbara County,88274,358225,1796027,520572,519258,236355,223849,155451,87754,37934,11559,1491,1804,06-06083-20190319,11,3
County,2019-03-20,06,CA,06083,Santa Barbara County,106434,340065,1907824,567505,591476,235270,225588,138537,86597,47990,11995,1236,1630,06-06083-20190320,11,3
County,2019-03-21,06,CA,06083,Santa Barbara County,104549,341950,1975612,579610,596512,243523,244026,149693,94407,51016,13721,1299,1805,06-06083-20190321,11,3
County,2019-03-22,06,CA,06083,Santa Barbara County,100573,345926,2049597,571900,622232,266240,260118,155848,102175,49634,18066,1476,1908,06-06083-20190322,11,3
County,2019-03-23,06,CA,06083,Santa Barbara County,104662,341837,2033604,586708,616359,268913,238071,153411,100483,49832,16599,1550,1678,06-06083-20190323,11,3
County,2019-03-24,06,CA,06083,Santa Barbara County,100812,345687,1808097,500791,546923,234154,205793,136977,103510,57185,18757,1330,2677,06-06083-20190324,12,3
County,2019-03-25,06,CA,06083,Santa Barbara County,95767,350732,2038050,582902,619084,250241,240920,160556,99833,61668,17873,1677,3296,06-06083-20190325,12,3
County,2019-03-26,06,CA,06083,Santa Barbara County,98417,348082,1992803,586452,584399,253148,248937,151596,99847,48422,15865,1621,2516,06-06083-20190326,12,3
County,2019-03-27,06,CA,06083,Santa Barbara County,96588,349911,2138019,635864,665302,266243,250772,161914,94430,48103,12281,1174,1936,06-06083-20190327,12,3
County,2019-03-28,06,CA,06083,Santa Barbara County,94220,352279,2139094,609312,645912,278549,268642,165717,100025,55355,12270,1270,2042,06-06083-20190328,12,3
County,2019-03-29,06,CA,06083,Santa Barbara County,95440,351059,2106002,596738,655709,258398,265775,157100,102430,51243,15577,1153,1879,06-06083-20190329,12,3
County,2019-03-30,06,CA,06083,Santa Barbara County,98165,348334,2067786,607818,620438,252535,254140,153002,97885,63265,15598,980,2125,06-06083-20190330,12,3
County,2019-03-31,06,CA,06083,Santa Barbara County,97654,348845,1914614,560760,579354,225358,218862,147761,101791,60278,16900,1336,2214,06-06083-20190331,13,3
County,2019-04-01,06,CA,06083,Santa Barbara County,99128,347371,2143597,658277,637711,262621,262064,162227,91090,51589,14893,1449,1676,06-06083-20190401,13,4
County,2019-04-02,06,CA,06083,Santa Barbara County,97418,349081,2122414,633813,656688,257341,262701,144388,93082,58328,13720,1116,1237,06-06083-20190402,13,4
County,2019-04-03,06,CA,06083,Santa Barbara County,99259,347240,2191620,666569,688105,275480,256267,151979,86657,51738,12886,796,1143,06-06083-20190403,13,4
County,2019-04-04,06,CA,06083,Santa Barbara County,98450,348049,2329466,698120,734358,280805,288967,163632,94483,55468,11698,656,1279,06-06083-20190404,13,4
County,2019-04-05,06,CA,06083,Santa Barbara County,98100,348399,2330674,714507,709372,290161,275325,162821,97718,65476,13096,698,1500,06-06083-20190405,13,4
County,2019-04-06,06,CA,06083,Santa Barbara County,101207,345292,2226323,685897,691906,274309,249334,156360,90727,61072,14350,739,1629,06-06083-20190406,13,4
County,2019-04-07,06,CA,06083,Santa Barbara County,102364,344135,2039456,625291,615038,259984,219878,142870,92588,62549,18494,735,2029,06-06083-20190407,14,4
